"","FinalID","OriginalTraitValue","ConTemp","Kelvin","Tref","B0","T0","Th","E","Tm","Eh","Tpk"
"6","MTD2143",3.35987e-11,16,289.15,289.15,3.35987e-11,289.15,305.15,0.65,315.15,1.3,305.15
"7","MTD2143",3.67986e-11,18,291.15,289.15,3.35987e-11,289.15,305.15,0.65,315.15,1.3,305.15
"8","MTD2143",5.11981e-11,20,293.15,289.15,3.35987e-11,289.15,305.15,0.65,315.15,1.3,305.15
"9","MTD2143",6.23977e-11,22,295.15,289.15,3.35987e-11,289.15,305.15,0.65,315.15,1.3,305.15
"10","MTD2143",6.71975e-11,24,297.15,289.15,3.35987e-11,289.15,305.15,0.65,315.15,1.3,305.15
"11","MTD2143",8.63968e-11,26,299.15,289.15,3.35987e-11,289.15,305.15,0.65,315.15,1.3,305.15
"12","MTD2143",1.03996e-10,28,301.15,289.15,3.35987e-11,289.15,305.15,0.65,315.15,1.3,305.15
"13","MTD2143",1.10396e-10,30,303.15,289.15,3.35987e-11,289.15,305.15,0.65,315.15,1.3,305.15
"14","MTD2143",1.18396e-10,32,305.15,289.15,3.35987e-11,289.15,305.15,0.65,315.15,1.3,305.15
"15","MTD3138",0.42534262,18.475464,291.625464,291.625464,0.42534262,291.625464,294.646439,0.65,304.713993,1.3,304.676745
"16","MTD3138",0.4537302,18.528875,291.678875,291.625464,0.42534262,291.625464,294.646439,0.65,304.713993,1.3,304.676745
"17","MTD3138",0.5859876,21.49727,294.64727,291.625464,0.42534262,291.625464,294.646439,0.65,304.713993,1.3,304.676745
"18","MTD3138",0.67818534,21.496439,294.646439,291.625464,0.42534262,291.625464,294.646439,0.65,304.713993,1.3,304.676745
"19","MTD3138",0.6934353,24.501667,297.651667,291.625464,0.42534262,291.625464,294.646439,0.65,304.713993,1.3,304.676745
"20","MTD3138",0.728896,24.501347,297.651347,291.625464,0.42534262,291.625464,294.646439,0.65,304.713993,1.3,304.676745
"21","MTD3138",0.6831651,25.539328,298.689328,291.625464,0.42534262,291.625464,294.646439,0.65,304.713993,1.3,304.676745
"22","MTD3138",0.79663914,25.538303,298.688303,291.625464,0.42534262,291.625464,294.646439,0.65,304.713993,1.3,304.676745
"23","MTD3138",1.0920284,28.541004,301.691004,291.625464,0.42534262,291.625464,294.646439,0.65,304.713993,1.3,304.676745
"24","MTD3138",1.123943,28.540716,301.690716,291.625464,0.42534262,291.625464,294.646439,0.65,304.713993,1.3,304.676745
"25","MTD3138",1.1214689,31.563993,304.713993,291.625464,0.42534262,291.625464,294.646439,0.65,304.713993,1.3,304.676745
"26","MTD3138",1.2845752,31.526745,304.676745,291.625464,0.42534262,291.625464,294.646439,0.65,304.713993,1.3,304.676745
"27","MTD3139",0.12040003,18.531883,291.681883,291.64585,0.14875586,291.64585,294.704426,0.65,304.738507,1.3,301.661435
"28","MTD3139",0.14875586,18.49585,291.64585,291.64585,0.14875586,291.64585,294.704426,0.65,304.738507,1.3,301.661435
"29","MTD3139",0.19948554,21.554426,294.704426,291.64585,0.14875586,291.64585,294.704426,0.65,304.738507,1.3,301.661435
"30","MTD3139",0.28458476,21.535769,294.685769,291.64585,0.14875586,291.64585,294.704426,0.65,304.738507,1.3,301.661435
"31","MTD3139",0.2966439,25.542816,298.692816,291.64585,0.14875586,291.64585,294.704426,0.65,304.738507,1.3,301.661435
"32","MTD3139",0.3296179,28.529995,301.679995,291.64585,0.14875586,291.64585,294.704426,0.65,304.738507,1.3,301.661435
"33","MTD3139",0.40407893,28.511435,301.661435,291.64585,0.14875586,291.64585,294.704426,0.65,304.738507,1.3,301.661435
"34","MTD3139",0.3874397,31.588507,304.738507,291.64585,0.14875586,291.64585,294.704426,0.65,304.738507,1.3,301.661435
"35","MTD3145",0.028,0,273.15,283.15,0.028,273.15,308.15,0.65,318.15,1.3,308.15
"36","MTD3145",0.014,5,278.15,283.15,0.028,273.15,308.15,0.65,318.15,1.3,308.15
"37","MTD3145",0.028,10,283.15,283.15,0.028,273.15,308.15,0.65,318.15,1.3,308.15
"38","MTD3145",0.073,15,288.15,283.15,0.028,273.15,308.15,0.65,318.15,1.3,308.15
"39","MTD3145",0.23,20,293.15,283.15,0.028,273.15,308.15,0.65,318.15,1.3,308.15
"40","MTD3145",0.16,25,298.15,283.15,0.028,273.15,308.15,0.65,318.15,1.3,308.15
"41","MTD3145",0.22,30,303.15,283.15,0.028,273.15,308.15,0.65,318.15,1.3,308.15
"42","MTD3145",0.31,35,308.15,283.15,0.028,273.15,308.15,0.65,318.15,1.3,308.15
"43","MTD3161",0.028369833,1,274.15,283.15,0.030811772,274.15,278.15,0.65,308.15,1.3,303.15
"44","MTD3161",0.05043158,5,278.15,283.15,0.030811772,274.15,278.15,0.65,308.15,1.3,303.15
"45","MTD3161",0.030811772,10,283.15,283.15,0.030811772,274.15,278.15,0.65,308.15,1.3,303.15
