"","Type.of.feeding.interaction","mean","median"
"1","insectivorous",-0.19768531886863,-0.155625491649087
"2","piscivorous",7.71223438647515,7.97246601597457
"3","planktivorous",-2.8444155291803,-3.83506196429202
"4","predacious",4.77986971956941,6.4118182677099
"5","predacious/piscivorous",6.06403752213459,6.38012253689976
"6","insectivorous",-2.97649490953736,-3.11903048989848
"7","piscivorous",1.63552827510992,1.81807677754543
"8","planktivorous",-12.2973266641226,-13.9524764130374
"9","predacious",-3.3992920045753,-1.52326021619305
"10","predacious/piscivorous",2.41088614444964,2.61006979274201
"11","insectivorous",2.77880959066873,2.77880959066873
"12","piscivorous",6.07670611136523,6.07670611136523
"13","planktivorous",9.45291113494234,9.45291113494234
"14","predacious",8.1791617241447,8.1791617241447
"15","predacious/piscivorous",3.65315137768494,3.65315137768494
